10,20,30
0,0,0
5,7,18
9,19,33
17,28,48
22,36,66
27,45,84
31,55,100
34,68,115
43,80,124
48,90,140
56,98,157
59,109,174
64,120,189
68,129,208
72,142,221
77,152,236
84,162,251
91,171,265
94,185,278
99,194,297
106,199,315
109,214,327
114,222,344
118,232,361
126,240,381
130,251,396
134,264,409
140,277,420
147,285,437
151,298,456
160,305,476
169,314,490
173,333,499
177,342,516
189,350,527
191,361,547
196,371,565
204,387,579
206,399,599
209,412,615
212,422,632
218,435,644
222,447,660
225,456,678
235,469,693
242,482,707
249,489,724
253,502,738
258,514,753
263,524,768
268,534,784
276,545,797
280,557,814
286,565,834
288,574,855
296,584,869
302,591,886
308,602,900
315,610,915
321,624,931
322,639,945
325,647,964
329,661,983
335,671,998
345,678,1012
350,692,1025
359,702,1041
363,716,1056
365,730,1074
373,739,1087
377,746,1106
384,754,1121
392,768,1130
396,779,1150
398,791,1166
401,807,1179
404,814,1199
409,828,1212
415,841,1225
424,847,1248
433,861,1263
434,869,1285
437,878,1303
443,887,1318
447,893,1339
454,907,1350
461,915,1368
467,929,1380
472,941,1393
478,947,1414
484,959,1427
490,969,1442
497,981,1458
503,997,1469
508,1006,1488
508,1015,1510
512,1025,1526
517,1037,1539
522,1043,1559
526,1055,1575
